t_s,linear_x,angular_z
0.108,0.25,-0.12488528966775882
0.108,0.25,-0.12488528966775882
0.125,0.25,-0.1250482649692581
0.175,0.25,-0.12504048723740524
0.225,0.25,-0.12507101492051215
0.281,0.25,-0.12534255284519755
0.327,0.25,-0.1251119208039028
0.375,0.25,-0.1252548439163665
0.425,0.25,-0.12525976283003362
0.475,0.25,-0.12517232955355154
0.525,0.25,-0.12534657930968995
0.576,0.25,-0.12496245505122441
0.625,0.25,-0.12500775655110669
0.676,0.25,-0.12497152186604732
0.725,0.25,-0.12487623510237338
0.775,0.25,-0.1250390068395555
0.826,0.25,-0.1252702313412095
0.876,0.25,-0.12533019811717444
0.926,0.25,-0.12525057853875685
0.975,0.25,-0.12529972204121523
1.025,0.25,-0.12492465586055224
1.075,0.25,-0.12525305370174422
1.126,0.25,-0.1252027366221641
1.176,0.25,-0.12516297897592368
1.225,0.25,-0.12536221826809005
1.279,0.25,-0.12517576694604934
1.325,0.25,-0.12534061788154893
1.375,0.25,-0.1251338667996092
1.426,0.25,-0.1253893388480144
1.475,0.25,-0.12530731465847494
1.525,0.25,-0.12556370405769962
1.576,0.25,-0.12515261583541895
1.626,0.25,-0.12522527358829763
1.676,0.25,-0.12538293767941844
1.725,0.25,-0.12517430380262196
1.776,0.25,-0.12525036627800504
1.825,0.25,-0.1253819161575015
1.876,0.25,-0.1254333421500607
1.926,0.25,-0.1254333421500607
1.976,0.25,-0.12548332384476701
2.025,0.25,-0.1254546425519795
2.075,0.25,-0.12565739647379776
2.126,0.25,-0.12530462192002048
2.175,0.25,-0.12558708305350344
2.225,0.25,-0.12531725711764885
2.278,0.25,-0.1253201272264631
2.325,0.25,-0.12525910200345766
2.376,0.25,-0.12543369647773633
2.425,0.25,-0.12540652163595167
2.476,0.25,-0.12530743999186322
2.525,0.25,-0.12551845087904928
2.575,0.25,-0.12524139848380036
2.625,0.25,-0.1253361033083645
2.675,0.25,-0.12515012373300766
2.725,0.25,-0.12505983979443785
2.776,0.25,-0.12538717721810816
2.825,0.25,-0.12510571860837444
2.876,0.25,-0.12563659645195183
2.925,0.25,-0.12542165272605166
2.976,0.25,-0.1254384031411834
3.026,0.25,-0.1254384031411834
3.075,0.25,-0.12525019337635113
3.125,0.25,-0.12536941108623362
3.175,0.25,-0.12517181509754002
3.226,0.25,-0.12601700849831443
3.28,0.25,-0.12601700849831443
3.325,0.25,-0.12581435887001025
3.376,0.25,-0.12583985461526961
3.425,0.25,-0.12539155574099678
3.475,0.25,-0.12591010668240102
3.525,0.25,-0.12556440234165633
3.575,0.25,-0.12595408467501468
3.626,0.25,-0.125728586480736
3.675,0.25,-0.12576377165327635
3.726,0.25,-0.1261646301826234
3.775,0.25,-0.12564757117395497
3.825,0.25,-0.12569318929664214
3.876,0.25,-0.12569318929664214
3.925,0.25,-0.1255193030000475
3.976,0.25,-0.12537037413858576
4.025,0.25,-0.1254184481272605
4.076,0.25,-0.12576191227035058
4.126,0.25,-0.1257836373557841
4.175,0.25,-0.12532716595785062
4.225,0.25,-0.12538693624957592
4.279,0.25,-0.12540568747541309
4.325,0.25,-0.12541078940226588
4.376,0.25,-0.1254796128892143
4.425,0.25,-0.1255924224521945
4.476,0.25,-0.12529091190034694
4.525,0.25,-0.1253702683961495
4.576,0.25,-0.125596622736439
4.626,0.25,-0.125596622736439
4.675,0.25,-0.12550205078058652
4.726,0.25,-0.12569346400575013
4.775,0.25,-0.12529758150920853
4.826,0.25,-0.12551193213808423
4.875,0.25,-0.12545067663817672
4.925,0.25,-0.1257747850458407
4.976,0.25,-0.1255077772577109
5.025,0.25,-0.1258787146346427
5.075,0.25,-0.12573077288199935
5.125,0.25,-0.1253229806609977
5.176,0.25,-0.12524463043566697
5.226,0.25,-0.12524463043566697
5.285,0.25,-0.1254664897439023
5.326,0.25,-0.12573642977246205
5.375,0.25,-0.1258156939132557
5.426,0.25,-0.12569935541404714
5.476,0.25,-0.12515405934689924
5.525,0.25,-0.1253679764809542
5.576,0.25,-0.1257242493271229
5.625,0.25,-0.12571461753914787
5.675,0.25,-0.12534788015559975
5.726,0.25,-0.12591314582654933
5.775,0.25,-0.1257693768095304
5.826,0.25,-0.12553426080297114
5.875,0.25,-0.12570698563586877
5.926,0.25,-0.12585293418864324
5.976,0.25,-0.12518593499905045
6.025,0.25,-0.12564724704956176
