t_s,linear_x,angular_z
0.447,0.25,-1.0400473581989522
0.448,0.25,-1.0401652773785572
0.448,0.25,-1.0401997937480296
0.449,0.25,-1.0402118196894317
0.449,0.25,-1.0405434207996922
0.449,0.25,-1.0398475680508914
0.45,0.25,-1.040243102529414
0.45,0.25,-1.0400847208552053
0.451,0.25,-1.040156324810878
0.454,0.25,-1.0402626291618828
0.504,0.25,-1.0401171352074967
0.554,0.25,-1.0403928405154115
0.604,0.25,-1.0403928405154115
0.654,0.25,-1.0401601078664588
0.704,0.25,-1.0399953705601788
0.754,0.25,-1.0403332751969794
0.804,0.25,-1.039972687956055
0.854,0.25,-1.0385669352849274
0.904,0.25,-1.0404270709269374
0.955,0.25,-1.0404270709269374
1.008,0.25,-1.0390913180850327
1.054,0.25,-1.0403620269122198
1.104,0.25,-1.039866253454834
1.154,0.25,-1.040415346582181
1.205,0.25,-1.0402757015742636
1.254,0.25,-1.0402104814525734
1.304,0.25,-1.039177805740061
1.354,0.25,-1.0410346780264144
1.404,0.25,-1.0392749590440393
1.455,0.25,-1.0398876859097796
1.504,0.25,-1.0400447717785533
1.554,0.25,-1.0403729503143877
1.604,0.25,-1.040711508979413
1.654,0.25,-1.0408602642067635
1.705,0.25,-1.0406372770609023
1.754,0.25,-1.0402701925840758
1.804,0.25,-1.0404210099606206
1.854,0.25,-1.0404210099606206
1.904,0.25,-1.0399822949564546
1.954,0.25,-1.0399822949564546
2.008,0.25,-1.0399479358895494
2.054,0.25,-1.0405665944369487
2.104,0.25,-1.0400674705713464
2.154,0.25,-1.0398772752720764
2.204,0.25,-1.0398772752720764
2.254,0.25,-1.0399608318997298
2.305,0.25,-1.039710133797529
2.354,0.25,-1.039089163265586
2.404,0.25,-1.0398785120412843
2.454,0.25,-1.0396546737069021
2.504,0.25,-1.039638120131201
2.554,0.25,-1.0390646003072446
2.604,0.25,-1.0384844100585564
2.654,0.25,-1.0385278817288313
2.704,0.25,-1.0383200234336454
2.754,0.25,-1.0385193146289287
2.804,0.25,-1.0383231339394683
2.854,0.25,-1.040364005912786
2.904,0.25,-1.0393973046741725
2.954,0.25,-1.0393973046741725
3.009,0.25,-1.0389187815864642
3.054,0.25,-1.0398484195402302
3.104,0.25,-1.0395779371584697
3.154,0.25,-1.0395251949896867
3.204,0.25,-1.0395131354486522
3.254,0.25,-1.0398077054607133
3.305,0.25,-1.0399948014993567
3.354,0.25,-1.0401899930164726
3.405,0.25,-1.0395060149760627
3.454,0.25,-1.0382566419175758
3.504,0.25,-1.0382007358170577
3.554,0.25,-1.0379729540262903
3.604,0.25,-1.0384363957597174
3.655,0.25,-1.0384213025826714
3.704,0.25,-1.0385250802733412
3.754,0.25,-1.0387330349408026
3.804,0.25,-1.0387330349408026
3.854,0.25,-1.0389136585533552
3.905,0.25,-1.0401369651884427
3.954,0.25,-1.038699163953121
4.012,0.25,-1.040226803876415
4.054,0.25,-1.038966779395389
4.104,0.25,-1.0398515784567723
4.154,0.25,-1.0398515784567723
4.204,0.25,-1.0405220345963757
4.254,0.25,-1.0404861425766498
4.304,0.25,-1.0406545289108637
4.354,0.25,-1.0402344381845343
4.404,0.25,-1.0402579512215218
4.454,0.25,-1.0401535844354992
4.504,0.25,-1.0403338544452214
4.554,0.25,-1.039928063584606
4.604,0.25,-1.0401772444334758
4.654,0.25,-1.0400830932784637
4.704,0.25,-1.040372185725039
4.755,0.25,-1.0402946682821308
4.804,0.25,-1.0404446858013505
4.854,0.25,-1.0398437799501627
4.904,0.25,-1.0405096854622167
4.954,0.25,-1.0391115365561654
5.009,0.25,-1.040341665980004
5.054,0.25,-1.0405441433265958
5.104,0.25,-1.0395335753989599
5.154,0.25,-1.0393996856776544
5.205,0.25,-1.040531688591969
5.254,0.25,-1.040531688591969
5.304,0.25,-1.040588989861523
5.354,0.25,-1.0400423261390885
5.404,0.25,-1.0391199246618736
5.454,0.25,-1.0403522133541778
5.504,0.25,-1.0405909218662166
5.554,0.25,-1.0404425089856502
5.604,0.25,-1.039236933294831
5.654,0.25,-1.0393265309636974
5.704,0.25,-1.0402136611572514
5.754,0.25,-1.0406202090472454
5.804,0.25,-1.0389049456065795
5.854,0.25,-1.0390844828060897
5.904,0.25,-1.0394422234618401
5.954,0.25,-1.039403315982263
6.008,0.25,-1.0391972943007461
