t_s,linear_x,angular_z
0.444,0.25,1.124280734476147
0.445,0.25,1.1256757070994685
0.445,0.25,1.1244193027453215
0.445,0.25,1.1244193027453215
0.445,0.25,1.1242346624604485
0.446,0.25,1.124974807743304
0.446,0.25,1.1237723154809485
0.446,0.25,1.1247863672496026
0.446,0.25,1.1251535237283319
0.489,0.25,1.1247792006540793
0.539,0.25,1.1258840074052976
0.59,0.25,1.124733883804218
0.643,0.25,1.125112204985415
0.689,0.25,1.1248834546902555
0.739,0.25,1.1248893540669853
0.789,0.25,1.1250655800602511
0.84,0.25,1.1248485171297087
0.889,0.25,1.125685738165793
0.94,0.25,1.125379740518962
0.989,0.25,1.125565735520246
1.039,0.25,1.125299447991487
1.089,0.25,1.1253370279614012
1.139,0.25,1.1255193560023542
1.19,0.25,1.1255193560023542
1.239,0.25,1.1256394763343405
1.289,0.25,1.1249769044911881
1.339,0.25,1.1249769044911881
1.389,0.25,1.124945847859633
1.44,0.25,1.1248901567081762
1.489,0.25,1.1251542323226578
1.539,0.25,1.1258059163675724
1.589,0.25,1.1276095000755173
1.648,0.25,1.1258175343064585
1.69,0.25,1.1258175343064585
1.739,0.25,1.12539195841411
1.789,0.25,1.1250971163690136
1.839,0.25,1.1250971163690136
1.889,0.25,1.1245920322096097
1.941,0.25,1.1251293389920625
1.989,0.25,1.125522830138445
2.039,0.25,1.1254824161634576
2.089,0.25,1.1254590987752928
2.139,0.25,1.1254626044039484
2.189,0.25,1.1254626044039484
2.239,0.25,1.1257109452310268
2.289,0.25,1.1256901605853287
2.339,0.25,1.1258551243298733
2.389,0.25,1.1252109449192782
2.439,0.25,1.1255954928479037
2.489,0.25,1.1254195270785659
2.54,0.25,1.1253378744650497
2.589,0.25,1.1256265906932574
2.643,0.25,1.125761838254855
2.689,0.25,1.1256593031200182
2.739,0.25,1.1254024222642158
2.79,0.25,1.1257627392776952
2.839,0.25,1.1257627392776952
2.889,0.25,1.1259814830686015
2.939,0.25,1.1252938928761296
2.989,0.25,1.1261721515013126
3.04,0.25,1.1257154092533455
3.089,0.25,1.1255081352816314
3.139,0.25,1.1255081352816314
3.189,0.25,1.1253174343042807
3.239,0.25,1.125418232190975
3.29,0.25,1.124810625450271
3.339,0.25,1.126027589126051
3.389,0.25,1.125173793109997
3.439,0.25,1.1250393426294818
3.489,0.25,1.1250791718862694
3.539,0.25,1.124781729050173
3.589,0.25,1.1252874313836834
3.643,0.25,1.1248429397686477
3.689,0.25,1.125368765467352
3.739,0.25,1.1248549179084668
3.789,0.25,1.124959499333714
3.839,0.25,1.1253880267653757
3.89,0.25,1.1253880267653757
3.939,0.25,1.1255208155604843
3.989,0.25,1.125463110403397
4.039,0.25,1.1256573605024
4.089,0.25,1.1251065344955278
4.14,0.25,1.1251065344955278
4.189,0.25,1.1251294311034876
4.239,0.25,1.125562640749647
4.289,0.25,1.125562640749647
4.339,0.25,1.1246620066571564
4.39,0.25,1.1252867176977215
4.439,0.25,1.1250652805563495
4.489,0.25,1.123921470509741
4.539,0.25,1.1241139162444733
4.589,0.25,1.1246443726149113
4.644,0.25,1.1246824072489396
4.689,0.25,1.1271957074272803
4.739,0.25,1.1275819841672776
4.789,0.25,1.1275819841672776
4.839,0.25,1.1270380613723165
4.889,0.25,1.1266552775738408
4.939,0.25,1.1269589289734352
4.99,0.25,1.1267068394589217
5.039,0.25,1.1276436554898093
5.089,0.25,1.127318685042928
5.139,0.25,1.1267457695710277
5.189,0.25,1.1248305217341827
5.24,0.25,1.1247124326273439
5.289,0.25,1.124709481645978
5.339,0.25,1.1255049128714378
5.389,0.25,1.125324948038823
5.439,0.25,1.125324948038823
5.489,0.25,1.1256781330288324
5.539,0.25,1.12546581769437
5.589,0.25,1.12546581769437
5.644,0.25,1.1246417469913874
5.689,0.25,1.1258659608469834
5.74,0.25,1.1252680453483734
5.789,0.25,1.1248385386955693
5.839,0.25,1.1246864009938837
5.889,0.25,1.1240106042416966
5.939,0.25,1.12505878630429
5.99,0.25,1.124469694810254
6.039,0.25,1.1246709262745547
