t_s,linear_x,angular_z
0.378,0.0,0.4
0.378,0.0,0.4
0.378,0.0,0.4
0.379,0.0,0.4
0.379,0.0,0.4
0.379,0.0,0.4
0.379,0.0,0.4
0.38,0.0,0.4
0.428,0.0,0.4
0.477,0.0,0.4
0.528,0.0,0.4
0.577,0.0,0.4
0.628,0.0,0.4
0.677,0.0,0.4
0.727,0.0,0.4
0.782,0.0,0.4
0.827,0.0,0.4
0.878,0.0,0.4
0.927,0.0,0.4
0.977,0.0,0.4
1.029,0.0,0.4
1.077,0.0,0.4
1.127,0.0,0.4
1.177,0.0,0.4
1.227,0.0,0.4
1.278,0.0,0.4
1.328,0.0,0.4
1.377,0.0,0.4
1.428,0.0,0.4
1.478,0.0,0.4
1.528,0.0,0.4
1.577,0.0,0.4
1.628,0.0,0.4
1.677,0.0,0.4
1.727,0.0,0.4
1.784,0.0,0.4
1.827,0.0,0.4
1.878,0.0,0.4
1.927,0.0,0.4
1.978,0.0,0.4
2.027,0.0,0.4
2.077,0.0,0.4
2.128,0.0,0.4
2.178,0.0,0.4
2.227,0.0,0.4
2.278,0.0,0.4
2.327,0.0,0.4
2.378,0.0,0.4
2.427,0.0,0.4
2.477,0.0,0.4
2.527,0.0,0.4
2.578,0.0,0.4
2.628,0.0,0.4
2.677,0.0,0.4
2.728,0.0,0.4
2.781,0.0,0.4
2.828,0.0,0.4
2.878,0.0,0.4
2.927,0.0,0.4
2.978,0.0,0.4
3.027,0.0,0.4
3.078,0.0,0.4
3.127,0.0,0.4
3.177,0.0,0.4
3.228,0.0,0.4
3.277,0.0,0.4
3.327,0.0,0.4
3.378,0.0,0.4
3.427,0.0,0.4
3.478,0.0,0.4
3.527,0.0,0.4
3.578,0.0,0.4
3.628,0.0,0.4
3.678,0.0,0.4
3.728,0.0,0.4
3.781,0.0,0.4
3.828,0.0,0.4
3.877,0.0,0.4
3.927,0.0,0.4
3.978,0.0,0.4
4.027,0.0,0.4
4.078,0.0,0.4
4.127,0.0,0.4
4.177,0.0,0.4
4.227,0.0,0.4
4.278,0.0,0.4
4.328,0.0,0.4
4.377,0.0,0.4
4.427,0.0,0.4
4.478,0.0,0.4
4.527,0.0,0.4
4.578,0.0,0.4
4.627,0.0,0.4
4.678,0.0,0.4
4.727,0.0,0.4
4.781,0.0,0.4
4.827,0.0,0.4
4.877,0.0,0.4
4.928,0.0,0.4
4.977,0.0,0.4
5.027,0.0,0.4
5.078,0.0,0.4
5.127,0.0,0.4
5.178,0.0,0.4
5.228,0.0,0.4
5.278,0.0,0.4
5.328,0.0,0.4
5.377,0.0,0.4
5.427,0.0,0.4
5.477,0.0,0.4
5.528,0.0,0.4
5.578,0.0,0.4
5.627,0.0,0.4
5.677,0.0,0.4
5.727,0.0,0.4
5.781,0.0,0.4
5.828,0.0,0.4
5.877,0.0,0.4
5.928,0.0,0.4
5.977,0.0,0.4
6.028,0.0,0.4
