t_s,linear_x,angular_z
0.099,0.0,0.4
0.105,0.0,0.4
0.155,0.0,0.4
0.205,0.0,0.4
0.255,0.0,0.4
0.305,0.0,0.4
0.355,0.0,0.4
0.404,0.0,0.4
0.458,0.0,0.4
0.505,0.0,0.4
0.555,0.0,0.4
0.605,0.0,0.4
0.655,0.0,0.4
0.705,0.0,0.4
0.755,0.0,0.4
0.805,0.0,0.4
0.855,0.0,0.4
0.905,0.0,0.4
0.955,0.0,0.4
1.005,0.0,0.4
1.055,0.0,0.4
1.105,0.0,0.4
1.155,0.0,0.4
1.205,0.0,0.4
1.255,0.0,0.4
1.305,0.0,0.4
1.355,0.0,0.4
1.405,0.0,0.4
1.461,0.0,0.4
1.505,0.0,0.4
1.555,0.0,0.4
1.605,0.25,-1.3075875719769672
1.654,0.25,-1.3023328108672936
1.705,0.25,-1.2988722387689249
1.755,0.25,-1.290437889533634
1.805,0.25,-1.2832384538152606
1.855,0.25,-1.280046269931663
1.905,0.25,-1.2696647665580887
1.956,0.25,-1.2705596202911598
2.005,0.25,-1.2631862052730691
2.055,0.25,-1.263672636909227
2.105,0.25,-1.259011796936151
2.155,0.25,-1.2514223798266348
2.205,0.25,-1.2467278587443946
2.255,0.25,-1.2438040238450072
2.305,0.25,-1.2336175198269645
2.355,0.25,-1.2310097241067388
2.405,0.25,-1.2276835746521249
2.459,0.25,-1.2225823401255924
2.505,0.25,-1.2230059474181532
2.555,0.25,-1.218446909351601
2.604,0.25,-1.2120464765700851
2.655,0.25,-1.2063271276595744
2.705,0.25,-1.2046314217443248
2.755,0.25,-1.201213078821927
2.806,0.25,-1.1945130034701907
2.855,0.25,-1.1816027187489302
2.905,0.25,-1.1760417942437231
2.955,0.25,-1.1752461694649192
3.005,0.25,-1.1679606491941554
3.055,0.25,-1.1659948843297536
3.105,0.25,-1.1485219853347395
3.155,0.25,-1.1353273724025663
3.205,0.25,-1.1213208480565369
3.255,0.25,-1.1105664484415638
3.305,0.25,-1.1039748330278318
3.355,0.25,-1.090162063482996
3.405,0.25,-1.0767292225800678
3.459,0.25,-1.0676931717832838
3.505,0.25,-1.0482270096698572
3.555,0.25,-1.039247850889668
3.605,0.25,-1.0198528615273514
3.655,0.25,-1.0112715371869316
3.705,0.25,-0.9953655196480691
3.755,0.25,-0.9835184860003577
3.805,0.25,-0.9752474372029868
3.855,0.25,-0.9678702027393541
3.905,0.25,-0.9599748031706566
3.955,0.25,-0.9429854166666664
4.005,0.25,-0.9209954638427023
4.055,0.25,-0.9060163136711532
4.105,0.25,-0.8861753488004426
4.155,0.25,-0.8776712389907164
4.205,0.25,-0.8567809214167129
4.255,0.25,-0.8364294395523755
4.305,0.25,-0.8286799801783945
4.355,0.25,-0.8082601946003951
4.405,0.25,-0.7955456961759807
4.459,0.25,-0.7715020236532572
4.505,0.25,-0.7419289231737224
4.555,0.25,-0.7284892588203815
4.605,0.25,-0.7004612618050577
4.655,0.25,-0.6879243835803989
4.705,0.25,-0.6628998113923894
4.755,0.25,-0.6398533474163147
4.804,0.25,-0.6273404744007348
4.855,0.25,-0.6060223983274964
4.905,0.25,-0.5923870594051147
4.955,0.25,-0.5655281807570449
5.005,0.25,-0.5583437193860891
5.055,0.25,-0.5263721772834511
5.105,0.25,-0.4976033086339819
5.155,0.25,-0.48694322912884547
5.205,0.25,-0.4613448406676784
5.256,0.25,-0.447585486007617
5.305,0.25,-0.4258588023521646
5.355,0.25,-0.39274235062756657
5.405,0.25,-0.37980489694310976
5.459,0.25,-0.3509529623238422
5.505,0.25,-0.3341942178641673
5.555,0.25,-0.3004104791217453
5.605,0.25,-0.2648821425668535
5.655,0.25,-0.24506295110831247
5.705,0.25,-0.20914373744804055
5.755,0.25,-0.18988860178260633
5.805,0.25,-0.160542771526274
5.855,0.25,-0.1365273457054994
5.905,0.25,-0.12728132430290365
