t_s,linear_x,angular_z
2.955,0.25,1.0307648290212594
2.955,0.25,1.0149036231884057
2.956,0.25,0.9998780460083652
2.979,0.25,0.9909126826468901
3.03,0.25,0.9671158342987085
3.08,0.25,0.9531096228300237
3.13,0.25,0.932904890788224
3.18,0.25,0.9214380708074081
3.23,0.25,0.9015641751795286
3.28,0.25,0.8840780481573737
3.33,0.25,0.8755561951754386
3.38,0.25,0.8573433586865781
3.43,0.25,0.8497174092409241
3.48,0.25,0.8331490303086363
3.534,0.25,0.8165750096442032
3.58,0.25,0.809482551143201
3.63,0.25,0.7934147777047744
3.68,0.25,0.7861658650712963
3.73,0.25,0.7671486910097225
3.78,0.25,0.7510058222433459
3.83,0.25,0.7422108502954695
3.88,0.25,0.7170304626056887
3.93,0.25,0.704149469583955
3.98,0.25,0.676425179400591
4.03,0.25,0.6535422306575643
4.08,0.25,0.6401509253319336
4.13,0.25,0.6196754970358934
4.18,0.25,0.6087580423010887
4.23,0.25,0.5898620921394142
4.28,0.25,0.5724890079692223
4.33,0.25,0.5638128723909785
4.38,0.25,0.5455420790740441
4.43,0.25,0.5365141265597149
4.48,0.25,0.5174273615720983
4.535,0.25,0.5081652798922078
4.58,0.25,0.48971986046108507
4.63,0.25,0.47218875889260314
4.68,0.25,0.4628820439350526
4.73,0.25,0.44827440508946603
4.78,0.25,0.4392687591265101
4.83,0.25,0.420550254766601
4.88,0.25,0.4037330657807525
4.93,0.25,0.3920136918217819
4.98,0.25,0.3730200571139273
5.031,0.25,0.3622955476827304
5.08,0.25,0.343561509778438
5.13,0.25,0.32407992200479974
5.179,0.25,0.31471069175166166
5.23,0.25,0.29751559786086484
5.28,0.25,0.2873109801422959
5.33,0.25,0.2679692980458252
5.38,0.25,0.2496820105820106
5.43,0.25,0.2413636193134078
5.48,0.25,0.22276485598749282
5.534,0.25,0.21282453545105384
5.58,0.25,0.195788494656893
5.63,0.25,0.17915323171894035
5.68,0.25,0.1649595401895915
5.73,0.25,0.1445763683324628
5.78,0.25,0.13162686556392716
5.83,0.25,0.10255636079549557
5.88,0.25,0.08941285827738081
5.93,0.25,0.061240934599611406
5.98,0.25,0.039433710082526184
6.03,0.25,0.03095153383934214
6.08,0.25,0.012172254020169113
6.131,0.25,0.003386988204120058
6.18,0.25,-0.010707212376216652
6.23,0.25,-0.02560554233591098
6.28,0.25,-0.03363596954958762
6.33,0.25,-0.05125793450174133
6.38,0.25,-0.05954060822519981
6.429,0.25,-0.08670311057974654
6.48,0.25,-0.11275572845535164
6.534,0.25,-0.12621488947578355
6.58,0.25,-0.14592676364806784
6.63,0.25,-0.15514778999705056
6.68,0.25,-0.17819920223598626
6.73,0.25,-0.19906588809602818
6.78,0.25,-0.210260107303565
6.83,0.25,-0.2331374655590739
6.88,0.25,-0.240812629821203
6.93,0.25,-0.2622781237239689
6.98,0.25,-0.2684687917560838
7.03,0.25,-0.2916308677863908
7.08,0.25,-0.31122828825245286
7.13,0.25,-0.3237386677503335
7.18,0.25,-0.34342786620666194
7.23,0.25,-0.3527272077829297
7.28,0.25,-0.36933703221881337
7.33,0.25,-0.3819083355797744
7.379,0.25,-0.38897076376123346
7.43,0.25,-0.40818900829200144
7.481,0.25,-0.4166625818557806
7.533,0.25,-0.4338541666666667
7.58,0.25,-0.4525577931892948
7.63,0.25,-0.4632115641074489
7.68,0.25,-0.4838034147392978
7.73,0.25,-0.4983159171075838
7.78,0.25,-0.5074731886587541
7.83,0.25,-0.5235822939736566
7.88,0.25,-0.5309550231354404
7.93,0.25,-0.5479253751339763
7.982,0.25,-0.553920606645146
8.03,0.25,-0.5711111001108823
8.08,0.25,-0.5847080308952167
8.13,0.25,-0.5850441712947838
8.18,0.25,-0.5994886075862729
8.23,0.25,-0.6079660121360878
8.28,0.25,-0.6208045345653661
8.33,0.25,-0.6343592231673411
8.38,0.25,-0.6423742093156986
8.43,0.25,-0.6518490218364673
8.48,0.25,-0.6563194560088813
8.574,0.25,-0.6665395606451077
8.579,0.25,-0.6706745719414525
8.629,0.25,-0.6898051725569997
8.68,0.25,-0.7041946178664208
8.73,0.25,-0.7111066097033978
8.78,0.25,-0.7272976947479228
8.83,0.25,-0.7353929432624111
8.88,0.25,-0.7543545264932354
8.93,0.25,-0.7707722109299541
8.98,0.25,-0.7777418177240681
9.03,0.25,-0.7883992751434612
9.08,0.25,-0.7966259765624999
9.13,0.25,-0.8081797444602005
9.18,0.25,-0.8202671570723918
9.23,0.25,-0.8284133622914157
9.28,0.25,-0.8411513389331606
9.33,0.25,-0.8467027061203841
9.38,0.25,-0.8578213830675275
9.43,0.25,-0.8698634917830003
9.48,0.25,-0.8750498011649219
9.534,0.25,-0.892496782283806
9.58,0.25,-0.8984094493098036
9.63,0.25,-0.9192912037037034
9.68,0.25,-0.9258641544170318
9.73,0.25,-0.9425018032786885
9.78,0.25,-0.9596445266489987
9.83,0.25,-0.9658215452795558
9.879,0.25,-0.9827144198978052
9.93,0.25,-0.9906240339152571
9.98,0.25,-1.0048782896759514
10.03,0.25,-1.0168858078499738
10.08,0.25,-1.021357393638992
10.13,0.25,-1.0321142532832104
10.18,0.25,-1.0365778451761984
10.23,0.25,-1.042487743861419
10.28,0.25,-1.0530244532718258
10.33,0.25,-1.055499751665553
10.38,0.25,-1.0645729618783664
10.43,0.25,-1.069049947075946
10.48,0.25,-1.0751729670927386
10.534,0.25,-1.0828413903594316
10.58,0.25,-1.0877023728909205
10.63,0.25,-1.0940212200699486
10.68,0.25,-1.0978385037028395
10.73,0.25,-1.1051182797311891
10.78,0.25,-1.1129818889780463
10.829,0.25,-1.1167862485974316
10.88,0.25,-1.1226452836834016
10.93,0.25,-1.1252893368711707
10.98,0.25,-1.1287593544093901
11.03,0.25,-1.1300583515681983
11.08,0.25,-1.1376327114173315
11.13,0.25,-1.1421280840535264
11.18,0.25,-1.1447002573503489
11.23,0.25,-1.1499458680256482
11.28,0.25,-1.1519147472113573
11.33,0.25,-1.1584428018962074
11.38,0.25,-1.1626118490488324
11.43,0.25,-1.1665897745885656
11.48,0.25,-1.170448630594522
11.534,0.25,-1.1717348478668732
11.58,0.25,-1.1769418291395877
11.63,0.25,-1.180999689054726
11.68,0.25,-1.1837893751613733
11.73,0.25,-1.1874025525790148
11.78,0.25,-1.1875231003085032
11.83,0.25,-1.1913615178246635
11.88,0.25,-1.1952532679738561
11.93,0.25,-1.1985535046876976
11.98,0.25,-1.2006146471522574
12.03,0.25,-1.2020703367663885
12.079,0.25,-1.2081739470640267
12.13,0.25,-1.2124841030789824
12.18,0.25,-1.2147956304265757
12.23,0.25,-1.2189096283138507
12.28,0.25,-1.219470168197496
12.33,0.25,-1.223073160046729
12.38,0.25,-1.221217402928595
12.43,0.25,-1.224481789568345
12.48,0.25,-1.2376920289855073
12.534,0.25,-1.2443063732529198
12.58,0.25,-1.2557265733056706
12.63,0.25,-1.2451021425012454
12.68,0.25,-1.2430089429737166
12.73,0.25,-1.255786225075686
12.78,0.25,-1.2585778081750882
12.83,0.25,-1.266777462446967
12.88,0.25,-1.2702650577557757
12.93,0.25,-1.2756575544883635
12.98,0.25,-1.283767803475761
13.03,0.25,-1.2872484984984982
13.08,0.25,-1.296360033856571
13.13,0.25,-1.3017077580539116
13.18,0.25,-1.3130095785440612
13.23,0.25,-1.3264593698175784
13.28,0.25,-1.332612115127175
13.33,0.25,-1.3431279108449765
13.38,0.0,0.4
13.43,0.0,0.4
13.48,0.0,0.4
13.534,0.0,0.4
13.58,0.0,0.4
13.63,0.0,0.4
13.68,0.0,0.4
13.73,0.0,0.4
13.78,0.0,0.4
13.83,0.0,0.4
