t_s,linear_x,angular_z
0.11,-0.25,0.0
0.11,-0.25,0.0
0.111,-0.25,0.0
0.16,-0.25,0.0
0.21,-0.25,0.0
0.26,-0.25,0.0
0.311,-0.25,0.0
0.36,-0.25,0.0
0.41,-0.25,0.0
0.46,-0.25,0.0
0.51,-0.25,0.0
0.56,-0.25,0.0
0.61,-0.25,0.0
0.66,-0.25,0.0
0.71,-0.25,0.0
0.76,-0.25,0.0
0.81,-0.25,0.0
0.86,-0.25,0.0
0.91,-0.25,0.0
0.967,-0.25,0.0
1.01,-0.25,0.0
1.06,-0.25,0.0
1.11,-0.25,0.0
1.16,-0.25,0.0
1.21,-0.25,0.0
1.26,-0.25,0.0
1.31,-0.25,0.0
1.36,-0.25,0.0
1.411,-0.25,0.0
1.46,-0.25,0.0
1.51,-0.25,0.0
1.56,-0.25,0.0
1.61,-0.25,0.0
1.66,-0.25,0.0
1.71,-0.25,0.0
1.76,-0.25,0.0
1.81,-0.25,0.0
1.86,-0.25,0.0
1.91,-0.25,0.0
1.964,-0.25,0.0
2.01,-0.25,0.0
2.06,-0.25,0.0
2.11,-0.25,0.0
2.16,-0.25,0.0
2.209,-0.25,0.0
2.259,-0.25,0.0
2.31,-0.25,0.0
2.36,-0.25,0.0
2.41,-0.25,0.0
2.46,-0.25,0.0
2.511,-0.25,0.0
2.56,-0.25,0.0
2.61,-0.25,0.0
2.66,-0.25,0.0
2.71,-0.25,0.0
2.76,-0.25,0.0
2.81,-0.25,0.0
2.86,-0.25,0.0
2.91,-0.25,0.0
2.964,-0.25,0.0
3.01,-0.25,0.0
3.06,-0.25,0.0
3.11,-0.25,0.0
3.159,-0.25,0.0
3.21,-0.25,0.0
3.26,-0.25,0.0
3.31,-0.25,0.0
3.36,-0.25,0.0
3.41,-0.25,0.0
3.46,-0.25,0.0
3.51,-0.25,0.0
3.56,-0.25,0.0
3.61,-0.25,0.0
3.66,-0.25,0.0
3.71,-0.25,0.0
3.76,-0.25,0.0
3.81,-0.25,0.0
3.86,-0.25,0.0
3.91,-0.25,0.0
3.964,-0.25,0.0
4.01,-0.25,0.0
4.06,-0.25,0.0
4.11,-0.25,0.0
4.159,-0.25,0.0
4.21,-0.25,0.0
4.26,-0.25,0.0
4.31,-0.25,0.0
4.36,-0.25,0.0
4.409,-0.25,0.0
4.46,-0.25,0.0
4.51,-0.25,0.0
4.56,-0.25,0.0
4.61,-0.25,0.0
4.66,-0.25,0.0
4.71,-0.25,0.0
4.76,-0.25,0.0
4.81,-0.25,0.0
4.86,-0.25,0.0
4.91,-0.25,0.0
4.965,-0.25,0.0
5.01,-0.25,0.0
5.06,-0.25,0.0
5.11,-0.25,0.0
5.16,-0.25,0.0
5.21,-0.25,0.0
5.26,-0.25,0.0
5.31,-0.25,0.0
5.359,-0.25,0.0
5.41,-0.25,0.0
5.46,-0.25,0.0
5.51,-0.25,0.0
5.56,-0.25,0.0
5.609,-0.25,0.0
5.66,-0.25,0.0
5.71,-0.25,0.0
5.76,-0.25,0.0
5.81,-0.25,0.0
5.86,-0.25,0.0
5.91,-0.25,0.0
5.967,-0.25,0.0
6.01,-0.25,0.0
