t_s,linear_x,angular_z
0.115,0.25,-0.01406863200452946
0.115,0.25,-0.013654224207243073
0.118,0.25,-0.013473504035501769
0.168,0.25,-0.013440535857929559
0.218,0.25,-0.013897113470471218
0.268,0.25,-0.013646919640882585
0.318,0.25,-0.013673479986563314
0.368,0.25,-0.013669890517409229
0.418,0.25,-0.01385325697449101
0.471,0.25,-0.013749546428065536
0.518,0.25,-0.013815524550410529
0.568,0.25,-0.013598165340406644
0.618,0.25,-0.013429149761784664
0.669,0.25,-0.013537585597525846
0.718,0.25,-0.01346592819723188
0.768,0.25,-0.013690315076247897
0.818,0.25,-0.013594386425283354
0.868,0.25,-0.013992103543581748
0.919,0.25,-0.013812145058866108
0.968,0.25,-0.01378362580838683
1.018,0.25,-0.013820623339247929
1.068,0.25,-0.01402389215634301
1.118,0.25,-0.013413588186414778
1.169,0.25,-0.013687332466360613
1.218,0.25,-0.013767909511695143
1.268,0.25,-0.013453215870322131
1.318,0.25,-0.01387008699876329
1.368,0.25,-0.013093626789447298
1.418,0.25,-0.013208955059350488
1.474,0.25,-0.013617252820172643
1.518,0.25,-0.013124460047956319
1.568,0.25,-0.014130615033564239
1.618,0.25,-0.013374862268059324
1.668,0.25,-0.013935863469775177
1.717,0.25,-0.013421325188632415
1.769,0.25,-0.013519440618709631
1.818,0.25,-0.014076275383853342
1.868,0.25,-0.014105097441336268
1.918,0.25,-0.01383199220510633
1.968,0.25,-0.013579516337097282
2.018,0.25,-0.013509374419899665
2.068,0.25,-0.013624034864283985
2.118,0.25,-0.013697655718438817
2.168,0.25,-0.014050506054980863
2.218,0.25,-0.013730852569204827
2.268,0.25,-0.013694108520964327
2.318,0.25,-0.013792262678803693
2.368,0.25,-0.013400566499633157
2.418,0.25,-0.013471433938911693
2.472,0.25,-0.013728865614918886
2.519,0.25,-0.013843909797051985
2.568,0.25,-0.013898192627192784
2.618,0.25,-0.01351830362668636
2.667,0.25,-0.014002539328626218
2.718,0.25,-0.013549995575612605
2.769,0.25,-0.013597945763191779
2.818,0.25,-0.013589569236212283
2.868,0.25,-0.013629513281374307
2.918,0.25,-0.013258659272231839
2.968,0.25,-0.013936388100856475
3.018,0.25,-0.013610285729445799
3.068,0.25,-0.013200553699579273
3.118,0.25,-0.012992543673714321
3.168,0.25,-0.01362082792078695
3.218,0.25,-0.013567243710399949
3.268,0.25,-0.01366382055568831
3.318,0.25,-0.013485869411431607
3.369,0.25,-0.01379555272852567
3.418,0.25,-0.013151675181547588
3.472,0.25,-0.013947726831249447
3.518,0.25,-0.013249352211734332
3.568,0.25,-0.01380183894028949
3.618,0.25,-0.01345988054878692
3.668,0.25,-0.01350967862976187
3.718,0.25,-0.013917320400014076
3.768,0.25,-0.013737626825043278
3.818,0.25,-0.013456870394451561
3.868,0.25,-0.013653808753458705
3.918,0.25,-0.01379076254741104
3.968,0.25,-0.013504049084093486
4.018,0.25,-0.013840771324302528
4.068,0.25,-0.013914302130292489
4.118,0.25,-0.014308151299860261
4.168,0.25,-0.01251263326554504
4.218,0.25,-0.012824387449321257
4.268,0.25,-0.013754130442465316
4.318,0.25,-0.013526876088436276
4.368,0.25,-0.013928513071895274
4.418,0.25,-0.013910131584757188
4.472,0.25,-0.012600647206445714
4.518,0.25,-0.013424725337858589
4.568,0.25,-0.01329999072896804
4.618,0.25,-0.012718529927637653
4.668,0.25,-0.013336847137406167
4.719,0.25,-0.011475164866924245
4.768,0.25,-0.013458807383244427
4.818,0.25,-0.011274423435979697
4.868,0.25,-0.011460924148810392
4.918,0.25,-0.011164152837317616
4.968,0.25,-0.010861489596759383
5.018,0.25,-0.013701338280111308
5.068,0.25,-0.013091547744890589
5.118,0.25,-0.012422622353884947
5.168,0.25,-0.012889108444138911
5.218,0.25,-0.01237875070353155
5.268,0.25,-0.013189297962566186
5.318,0.25,-0.01343889961560155
5.368,0.25,-0.014032676188204895
5.418,0.25,-0.013045514819905435
5.472,0.25,-0.012847273624475583
5.518,0.25,-0.012836325339960483
5.568,0.25,-0.01145467087110763
5.618,0.25,-0.013835410651054756
5.668,0.25,-0.012574545566361584
5.718,0.25,-0.011428768636112564
5.768,0.25,-0.011391808792999178
5.818,0.25,-0.012611024687777216
5.868,0.25,-0.012557701604043032
5.918,0.25,-0.012535016036202221
5.968,0.25,-0.012299885799622245
6.018,0.25,-0.013896495155834463
