t_s,linear_x,angular_z
0.445,0.0,0.4
0.445,0.0,0.4
0.446,0.0,0.4
0.446,0.0,0.4
0.446,0.0,0.4
0.446,0.0,0.4
0.447,0.0,0.4
0.447,0.0,0.4
0.447,0.0,0.4
0.482,0.0,0.4
0.532,0.0,0.4
0.583,0.0,0.4
0.637,0.0,0.4
0.682,0.0,0.4
0.732,0.0,0.4
0.783,0.0,0.4
0.832,0.0,0.4
0.882,0.0,0.4
0.933,0.0,0.4
0.982,0.0,0.4
1.033,0.0,0.4
1.082,0.0,0.4
1.132,0.0,0.4
1.183,0.0,0.4
1.232,0.0,0.4
1.282,0.0,0.4
1.332,0.0,0.4
1.383,0.0,0.4
1.433,0.0,0.4
1.482,0.0,0.4
1.532,0.0,0.4
1.582,0.0,0.4
1.636,0.0,0.4
1.683,0.0,0.4
1.732,0.0,0.4
1.782,0.0,0.4
1.832,0.0,0.4
1.882,0.0,0.4
1.933,0.0,0.4
1.982,0.0,0.4
2.032,0.0,0.4
2.082,0.0,0.4
2.132,0.0,0.4
2.183,0.0,0.4
2.232,0.0,0.4
2.282,0.0,0.4
2.332,0.0,0.4
2.382,0.0,0.4
2.432,0.0,0.4
2.482,0.0,0.4
2.532,0.0,0.4
2.582,0.0,0.4
2.637,0.0,0.4
2.682,0.0,0.4
2.733,0.0,0.4
2.783,0.0,0.4
2.832,0.0,0.4
2.882,0.0,0.4
2.932,0.0,0.4
2.982,0.0,0.4
3.033,0.0,0.4
3.082,0.0,0.4
3.132,0.0,0.4
3.182,0.0,0.4
3.232,0.0,0.4
3.283,0.0,0.4
3.332,0.0,0.4
3.382,0.0,0.4
3.432,0.0,0.4
3.482,0.0,0.4
3.533,0.0,0.4
3.582,0.0,0.4
3.641,0.0,0.4
3.682,0.0,0.4
3.732,0.0,0.4
3.782,0.0,0.4
3.832,0.0,0.4
3.883,0.0,0.4
3.932,0.0,0.4
3.982,0.0,0.4
4.032,0.0,0.4
4.083,0.0,0.4
4.133,0.0,0.4
4.182,0.0,0.4
4.232,0.0,0.4
4.282,0.0,0.4
4.333,0.0,0.4
4.383,0.0,0.4
4.432,0.0,0.4
4.482,0.0,0.4
4.532,0.0,0.4
4.582,0.0,0.4
4.637,0.0,0.4
4.682,0.0,0.4
4.732,0.0,0.4
4.782,0.0,0.4
4.832,0.0,0.4
4.883,0.0,0.4
4.932,0.0,0.4
4.983,0.0,0.4
5.032,0.0,0.4
5.082,0.0,0.4
5.132,0.0,0.4
5.183,0.0,0.4
5.233,0.0,0.4
5.282,0.0,0.4
5.332,0.0,0.4
5.382,0.0,0.4
5.432,0.0,0.4
5.483,0.0,0.4
5.532,0.0,0.4
5.582,0.0,0.4
5.636,0.0,0.4
5.682,0.0,0.4
5.733,0.0,0.4
5.782,0.0,0.4
5.832,0.0,0.4
5.882,0.0,0.4
5.932,0.0,0.4
5.983,0.0,0.4
6.032,0.0,0.4
