t_s,linear_x,angular_z
0.11,0.0,0.4
0.111,0.0,0.4
0.111,0.0,0.4
0.155,0.0,0.4
0.205,0.0,0.4
0.255,0.0,0.4
0.305,0.0,0.4
0.356,0.0,0.4
0.405,0.0,0.4
0.455,0.0,0.4
0.511,0.0,0.4
0.555,0.0,0.4
0.606,0.0,0.4
0.655,0.0,0.4
0.705,0.0,0.4
0.755,0.0,0.4
0.805,0.0,0.4
0.856,0.0,0.4
0.905,0.0,0.4
0.955,0.0,0.4
1.005,0.0,0.4
1.055,0.0,0.4
1.106,0.0,0.4
1.155,0.0,0.4
1.205,0.0,0.4
1.255,0.0,0.4
1.305,0.0,0.4
1.355,0.0,0.4
1.405,0.0,0.4
1.455,0.0,0.4
1.509,0.0,0.4
1.555,0.0,0.4
1.605,0.0,0.4
1.655,0.0,0.4
1.706,0.0,0.4
1.755,0.0,0.4
1.805,0.0,0.4
1.855,0.0,0.4
1.905,0.0,0.4
1.956,0.0,0.4
2.005,0.0,0.4
2.055,0.0,0.4
2.105,0.0,0.4
2.155,0.0,0.4
2.206,0.0,0.4
2.255,0.0,0.4
2.305,0.0,0.4
2.355,0.0,0.4
2.405,0.0,0.4
2.456,0.0,0.4
2.509,0.0,0.4
2.555,0.0,0.4
2.605,0.0,0.4
2.655,0.0,0.4
2.705,0.0,0.4
2.755,0.0,0.4
2.805,0.0,0.4
2.855,0.0,0.4
2.905,0.0,0.4
2.955,0.0,0.4
3.005,0.0,0.4
3.056,0.0,0.4
3.105,0.0,0.4
3.155,0.0,0.4
3.205,0.0,0.4
3.255,0.0,0.4
3.306,0.0,0.4
3.355,0.0,0.4
3.405,0.0,0.4
3.455,0.0,0.4
3.508,0.0,0.4
3.556,0.0,0.4
3.605,0.0,0.4
3.655,0.0,0.4
3.705,0.0,0.4
3.755,0.0,0.4
3.805,0.0,0.4
3.855,0.0,0.4
3.905,0.0,0.4
3.955,0.0,0.4
4.005,0.0,0.4
4.055,0.0,0.4
4.105,0.0,0.4
4.155,0.0,0.4
4.205,0.0,0.4
4.255,0.0,0.4
4.305,0.0,0.4
4.355,0.0,0.4
4.406,0.0,0.4
4.455,0.0,0.4
4.509,0.0,0.4
4.555,0.0,0.4
4.605,0.0,0.4
4.655,0.0,0.4
4.705,0.0,0.4
4.755,0.0,0.4
4.805,0.0,0.4
4.855,0.0,0.4
4.906,0.0,0.4
4.955,0.0,0.4
5.005,0.0,0.4
5.055,0.0,0.4
5.105,0.0,0.4
5.155,0.0,0.4
5.205,0.0,0.4
5.255,0.0,0.4
5.305,0.0,0.4
5.355,0.0,0.4
5.405,0.0,0.4
5.455,0.0,0.4
5.511,0.0,0.4
5.555,0.0,0.4
5.605,0.0,0.4
5.655,0.0,0.4
5.705,0.0,0.4
5.756,0.0,0.4
5.805,0.0,0.4
5.855,0.0,0.4
5.905,0.0,0.4
5.955,0.0,0.4
6.005,0.0,0.4
