t_s,linear_x,angular_z
0.111,0.0,0.4
0.111,0.0,0.4
0.135,0.0,0.4
0.183,0.0,0.4
0.233,0.0,0.4
0.283,0.0,0.4
0.333,0.0,0.4
0.383,0.0,0.4
0.437,0.0,0.4
0.483,0.0,0.4
0.533,0.0,0.4
0.583,0.0,0.4
0.633,0.0,0.4
0.683,0.0,0.4
0.734,0.0,0.4
0.783,0.0,0.4
0.833,0.0,0.4
0.883,0.0,0.4
0.933,0.0,0.4
0.984,0.0,0.4
1.033,0.0,0.4
1.083,0.0,0.4
1.133,0.0,0.4
1.183,0.0,0.4
1.233,0.0,0.4
1.283,0.0,0.4
1.333,0.0,0.4
1.383,0.0,0.4
1.437,0.0,0.4
1.483,0.0,0.4
1.533,0.0,0.4
1.583,0.0,0.4
1.633,0.0,0.4
1.683,0.0,0.4
1.733,0.0,0.4
1.782,0.0,0.4
1.833,0.0,0.4
1.883,0.0,0.4
1.933,0.0,0.4
1.983,0.0,0.4
2.033,0.0,0.4
2.083,0.0,0.4
2.133,0.0,0.4
2.183,0.0,0.4
2.233,0.0,0.4
2.283,0.0,0.4
2.334,0.0,0.4
2.383,0.0,0.4
2.437,0.0,0.4
2.483,0.0,0.4
2.533,0.0,0.4
2.583,0.0,0.4
2.633,0.0,0.4
2.683,0.0,0.4
2.732,0.0,0.4
2.783,0.0,0.4
2.833,0.0,0.4
2.883,0.0,0.4
2.933,0.0,0.4
2.983,0.0,0.4
3.033,0.0,0.4
3.083,0.0,0.4
3.133,0.0,0.4
3.183,0.0,0.4
3.233,0.0,0.4
3.283,0.0,0.4
3.333,0.0,0.4
3.383,0.0,0.4
3.442,0.0,0.4
3.483,0.0,0.4
3.533,0.0,0.4
3.583,0.0,0.4
3.633,0.0,0.4
3.683,0.0,0.4
3.733,0.0,0.4
3.783,0.0,0.4
3.833,0.0,0.4
3.883,0.0,0.4
3.934,0.0,0.4
3.983,0.0,0.4
4.033,0.0,0.4
4.083,0.0,0.4
4.133,0.0,0.4
4.184,0.0,0.4
4.233,0.0,0.4
4.283,0.0,0.4
4.333,0.0,0.4
4.383,0.0,0.4
4.437,0.0,0.4
4.483,0.0,0.4
4.533,0.0,0.4
4.583,0.0,0.4
4.633,0.0,0.4
4.683,0.0,0.4
4.733,0.0,0.4
4.784,0.0,0.4
4.833,0.0,0.4
4.883,0.0,0.4
4.933,0.0,0.4
4.983,0.0,0.4
5.034,0.0,0.4
5.083,0.0,0.4
5.133,0.0,0.4
5.183,0.0,0.4
5.233,0.0,0.4
5.283,0.0,0.4
5.333,0.0,0.4
5.383,0.0,0.4
5.437,0.0,0.4
5.483,0.0,0.4
5.533,0.0,0.4
5.583,0.0,0.4
5.633,0.0,0.4
5.683,0.0,0.4
5.733,0.0,0.4
5.783,0.0,0.4
5.833,0.0,0.4
5.883,0.0,0.4
5.933,0.0,0.4
5.983,0.0,0.4
6.033,0.0,0.4
