t_s,linear_x,angular_z
0.45,0.0,0.4
0.451,0.0,0.4
0.451,0.0,0.4
0.451,0.0,0.4
0.451,0.0,0.4
0.451,0.0,0.4
0.452,0.0,0.4
0.452,0.0,0.4
0.452,0.0,0.4
0.486,0.0,0.4
0.533,0.0,0.4
0.582,0.0,0.4
0.632,0.0,0.4
0.682,0.0,0.4
0.732,0.0,0.4
0.782,0.0,0.4
0.832,0.0,0.4
0.882,0.0,0.4
0.932,0.0,0.4
0.982,0.0,0.4
1.032,0.0,0.4
1.082,0.0,0.4
1.132,0.0,0.4
1.182,0.0,0.4
1.232,0.0,0.4
1.282,0.0,0.4
1.332,0.0,0.4
1.383,0.0,0.4
1.432,0.0,0.4
1.492,0.0,0.4
1.532,0.0,0.4
1.582,0.0,0.4
1.633,0.0,0.4
1.682,0.0,0.4
1.732,0.0,0.4
1.782,0.0,0.4
1.832,0.0,0.4
1.883,0.0,0.4
1.932,0.0,0.4
1.982,0.0,0.4
2.032,0.0,0.4
2.082,0.0,0.4
2.132,0.0,0.4
2.182,0.0,0.4
2.232,0.0,0.4
2.282,0.0,0.4
2.332,0.0,0.4
2.382,0.0,0.4
2.432,0.0,0.4
2.484,0.0,0.4
2.532,0.0,0.4
2.582,0.0,0.4
2.632,0.0,0.4
2.682,0.0,0.4
2.733,0.0,0.4
2.782,0.0,0.4
2.832,0.0,0.4
2.882,0.0,0.4
2.932,0.0,0.4
2.983,0.0,0.4
3.032,0.0,0.4
3.082,0.0,0.4
3.132,0.0,0.4
3.182,0.0,0.4
3.232,0.0,0.4
3.282,0.0,0.4
3.332,0.0,0.4
3.382,0.0,0.4
3.432,0.0,0.4
3.487,0.0,0.4
3.532,0.0,0.4
3.582,0.0,0.4
3.632,0.0,0.4
3.682,0.0,0.4
3.732,0.0,0.4
3.782,0.0,0.4
3.833,0.0,0.4
3.882,0.0,0.4
3.932,0.0,0.4
3.982,0.0,0.4
4.032,0.0,0.4
4.083,0.0,0.4
4.132,0.0,0.4
4.182,0.0,0.4
4.232,0.0,0.4
4.282,0.0,0.4
4.332,0.0,0.4
4.382,0.0,0.4
4.432,0.0,0.4
4.486,0.0,0.4
4.532,0.0,0.4
4.583,0.0,0.4
4.632,0.0,0.4
4.682,0.0,0.4
4.732,0.0,0.4
4.782,0.0,0.4
4.832,0.0,0.4
4.882,0.0,0.4
4.932,0.0,0.4
4.982,0.0,0.4
5.032,0.0,0.4
5.082,0.0,0.4
5.132,0.0,0.4
5.182,0.0,0.4
5.232,0.0,0.4
5.282,0.0,0.4
5.332,0.0,0.4
5.382,0.0,0.4
5.433,0.0,0.4
5.498,0.0,0.4
5.532,0.0,0.4
5.582,0.0,0.4
5.632,0.0,0.4
5.682,0.0,0.4
5.732,0.0,0.4
5.782,0.0,0.4
5.832,0.0,0.4
5.882,0.0,0.4
5.932,0.0,0.4
5.982,0.0,0.4
6.032,0.0,0.4
