t_s,linear_x,angular_z
0.099,0.25,-0.012266137668815631
0.099,0.25,-0.012253760519752995
0.113,0.25,-0.012970752600008593
0.163,0.25,-0.012482799896475959
0.214,0.25,-0.012511458243464765
0.266,0.25,-0.012656789630461062
0.313,0.25,-0.012321572327043916
0.363,0.25,-0.01212284211585878
0.413,0.25,-0.012568576201767741
0.463,0.25,-0.012440386356776223
0.513,0.25,-0.012531197614268377
0.567,0.25,-0.012993935077268403
0.613,0.25,-0.01247322739442083
0.664,0.25,-0.012228735917468932
0.714,0.25,-0.012237785572944658
0.763,0.25,-0.012110455245248062
0.814,0.25,-0.01215023950286973
0.864,0.25,-0.012115859008659092
0.914,0.25,-0.012363313698837005
0.964,0.25,-0.011954545291105631
1.014,0.25,-0.01201670693734311
1.064,0.25,-0.012103710298190577
1.114,0.25,-0.012056780428873424
1.163,0.25,-0.012203748651564261
1.214,0.25,-0.0116942168068433
1.264,0.25,-0.012111422212649856
1.314,0.25,-0.011952688334267271
1.364,0.25,-0.012071678949561003
1.414,0.25,-0.012015208647561514
1.464,0.25,-0.012067153672657118
1.514,0.25,-0.012349298797117676
1.568,0.25,-0.01245241093983214
1.613,0.25,-0.011977606848655887
1.664,0.25,-0.012640647884897119
1.714,0.25,-0.012771803515271607
1.764,0.25,-0.012063880035604413
1.814,0.25,-0.0122582683497766
1.864,0.25,-0.012500080839872465
1.914,0.25,-0.012199678181726802
1.964,0.25,-0.01272347000301469
2.014,0.25,-0.012691191784265107
2.064,0.25,-0.012429868964279365
2.114,0.25,-0.012641381873814906
2.164,0.25,-0.012434864992894389
2.214,0.25,-0.012589469845581043
2.264,0.25,-0.011566942979150951
2.314,0.25,-0.01188660172927186
2.364,0.25,-0.01255850880592522
2.415,0.25,-0.012424154443918702
2.464,0.25,-0.011848225860747519
2.514,0.25,-0.011279316474568403
2.567,0.25,-0.01208766061206756
2.614,0.25,-0.01210786904222651
2.664,0.25,-0.011491997512813192
2.714,0.25,-0.01132409164079565
2.764,0.25,-0.011345093368970716
2.814,0.25,-0.010940783190066838
2.864,0.25,-0.010946361618686529
2.915,0.25,-0.011461832733179555
2.964,0.25,-0.010298218977473326
3.014,0.25,-0.010825811657967534
3.063,0.25,-0.010988313556274606
3.114,0.25,-0.011671263412422625
3.164,0.25,-0.011803685361414863
3.214,0.25,-0.012483807147537539
3.264,0.25,-0.012555251901140707
3.314,0.25,-0.012749879302766231
3.364,0.25,-0.013270382656552613
3.414,0.25,-0.012718904586006552
3.464,0.25,-0.013109818214542698
3.514,0.25,-0.011907105119591107
3.568,0.25,-0.011848605191786099
3.614,0.25,-0.011759376906787153
3.664,0.25,-0.011782883784675775
3.714,0.25,-0.011740498368479279
3.765,0.25,-0.012042728729980787
3.813,0.25,-0.011613493347716533
3.864,0.25,-0.011317054984006347
3.914,0.25,-0.010938633126133154
3.964,0.25,-0.01116098505312422
4.015,0.25,-0.011323796450420573
4.064,0.25,-0.010398764285919775
4.114,0.25,-0.011188184444252725
4.164,0.25,-0.010492186041837036
4.214,0.25,-0.01107736492550707
4.264,0.25,-0.010711668029963838
4.314,0.25,-0.01065613088700818
4.364,0.25,-0.010567346850826382
4.414,0.25,-0.01099235612480335
4.464,0.25,-0.010360974487301142
4.515,0.25,-0.010455812087587795
4.568,0.25,-0.010552796729711602
4.614,0.25,-0.01050413032841142
4.664,0.25,-0.011002085764924664
4.714,0.25,-0.011011267833981826
4.764,0.25,-0.010474767488734358
4.814,0.25,-0.010388704814942605
4.864,0.25,-0.010734116280407803
4.914,0.25,-0.010557170542635497
4.964,0.25,-0.011419836418486292
5.014,0.25,-0.010900626982927902
5.064,0.25,-0.01126611875499499
5.114,0.25,-0.011515564601464126
5.163,0.25,-0.011272677636984942
5.214,0.25,-0.01099309559283963
5.264,0.25,-0.011080535934158496
5.313,0.25,-0.011417745176414584
5.364,0.25,-0.011399187299527824
5.414,0.25,-0.011190756629422403
5.464,0.25,-0.011132160979688378
5.514,0.25,-0.011368785206955608
