timestamp,elapsed_s,temp_c,ext5v_v,ext5v_a,power_w,throttled_hex,undervoltage_now,throttled_now,cap_now,undervoltage_seen,throttled_seen,cap_seen
2026-05-06 21:13:57,0,67.0,5.14694000V,,0.000,0xe0000,0,0,0,0,1,1
2026-05-06 21:14:07,10,81.8,5.05850000V,,0.000,0xe0000,0,0,0,0,1,1
2026-05-06 21:14:17,20,84.5,5.05984000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:14:27,30,86.2,5.07860000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:14:37,40,87.3,5.13086000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:14:47,50,84.5,5.06922000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:14:57,60,84.5,5.12148000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:15:07,70,85.6,5.12684000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:15:18,81,86.7,5.13220000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:15:28,91,85.1,5.12550000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:15:38,101,85.6,5.12416000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:15:48,111,86.2,5.11210000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:15:58,121,84.0,5.12014000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:16:08,131,86.7,5.12416000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:16:18,141,86.2,5.07190000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:16:28,151,85.6,5.13622000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:16:38,161,85.1,5.12818000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:16:48,171,85.6,5.12550000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:16:59,182,84.0,5.08128000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:17:09,192,86.7,5.12014000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:17:19,202,85.1,5.07458000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:17:29,212,85.1,5.12818000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:17:39,222,84.5,5.12818000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:17:49,232,84.5,5.13488000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:17:59,242,85.1,5.12014000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:18:09,252,83.4,5.08262000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:18:19,262,86.7,5.13488000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:18:29,272,85.6,5.14024000V,,0.000,0xe0008,0,0,0,0,1,1
2026-05-06 21:18:39,282,86.7,5.08128000V,,0.000,0xe0006,0,1,1,0,1,1
2026-05-06 21:18:50,293,86.2,5.08128000V,,0.000,0xe0006,0,1,1,0,1,1
